event.tag.report tag_id=0x35E0170044CF0D590000F5F8, type=ISOC, antenna=1, rssi=193, time=2010-05-01T03:17:28.864
event.tag.report tag_id=0x35E0170044CF0D590000F54F, type=ISOC, antenna=1, rssi=263, time=2010-05-01T03:17:28.868
event.tag.report tag_id=0x35E0170044CF0D590000F61D, type=ISOC, antenna=1, rssi=609, time=2010-05-01T03:17:28.872
event.tag.report tag_id=0x35E0170044CF0D590000F5F7, type=ISOC, antenna=1, rssi=168, time=2010-05-01T03:17:28.876
event.tag.report tag_id=0x35E0170044CF0D590000F5BD, type=ISOC, antenna=1, rssi=334, time=2010-05-01T03:17:28.880
event.tag.report tag_id=0x35E0170044CF0D590000F627, type=ISOC, antenna=1, rssi=1790, time=2010-05-01T03:17:28.885
event.tag.report tag_id=0x35E0170044CF0D590000F629, type=ISOC, antenna=1, rssi=201, time=2010-05-01T03:17:28.892
event.tag.report tag_id=0x35E0170044CF0D590000F63F, type=ISOC, antenna=1, rssi=352, time=2010-05-01T03:17:28.901
event.tag.report tag_id=0x35E0170044CF0D590000F5AE, type=ISOC, antenna=1, rssi=2738, time=2010-05-01T03:17:28.910
event.tag.report tag_id=0x35E0170044CF0D590000F551, type=ISOC, antenna=1, rssi=830, time=2010-05-01T03:17:28.915
event.tag.report tag_id=0x35E0170044CF0D590000F55A, type=ISOC, antenna=1, rssi=578, time=2010-05-01T03:17:28.921
event.tag.report tag_id=0x35E0170044CF0D590000F55C, type=ISOC, antenna=1, rssi=414, time=2010-05-01T03:17:28.925
event.tag.report tag_id=0x35E0170044CF0D590000F657, type=ISOC, antenna=1, rssi=167, time=2010-05-01T03:17:28.928
event.tag.report tag_id=0x35E0170044CF0D590000F61A, type=ISOC, antenna=1, rssi=879, time=2010-05-01T03:17:28.932
event.tag.report tag_id=0x35E0170044CF0D590000F659, type=ISOC, antenna=1, rssi=656, time=2010-05-01T03:17:28.935
event.tag.report tag_id=0x35E0170044CF0D590000F58D, type=ISOC, antenna=1, rssi=1050, time=2010-05-01T03:17:28.956
event.tag.report tag_id=0x35E0170044CF0D590000F542, type=ISOC, antenna=1, rssi=542, time=2010-05-01T03:17:28.960
event.tag.report tag_id=0x35E0170044CF0D590000F635, type=ISOC, antenna=1, rssi=182, time=2010-05-01T03:17:28.965
event.tag.report tag_id=0x35E0170044CF0D590000F63E, type=ISOC, antenna=1, rssi=896, time=2010-05-01T03:17:28.969
event.tag.report tag_id=0x35E0170044CF0D590000F597, type=ISOC, antenna=1, rssi=641, time=2010-05-01T03:17:28.972
event.tag.report tag_id=0x35E0170044CF0D590000F580, type=ISOC, antenna=1, rssi=744, time=2010-05-01T03:17:28.977
event.tag.report tag_id=0x35E0170044CF0D590000F57E, type=ISOC, antenna=1, rssi=186, time=2010-05-01T03:17:28.985
event.tag.report tag_id=0x35E0170044CF0D590000F544, type=ISOC, antenna=1, rssi=263, time=2010-05-01T03:17:28.990
event.tag.report tag_id=0x35E0170044CF0D590000F64B, type=ISOC, antenna=1, rssi=1089, time=2010-05-01T03:17:28.995
